日期,时间,时间戳,27币涨跌幅总和(%)
2026-01-12,23:30,1768231440,0.0000
2026-01-13,00:00,1768233240,0.0000
2026-01-13,00:30,1768235040,0.0000
2026-01-13,01:00,1768236840,0.0000
2026-01-13,01:30,1768238640,0.0000
2026-01-13,02:00,1768240440,0.0000
2026-01-13,02:30,1768242240,0.0000
2026-01-13,03:00,1768244040,0.0000
2026-01-13,03:30,1768245840,0.0000
2026-01-13,04:00,1768247640,0.0000
2026-01-13,04:30,1768249440,0.0000
2026-01-13,05:00,1768251240,0.0000
2026-01-13,05:30,1768253040,0.0000
2026-01-13,06:00,1768254840,0.0000
2026-01-13,06:30,1768256640,0.0000
2026-01-13,07:00,1768258440,0.0000
2026-01-13,07:30,1768260240,0.0000
2026-01-13,08:00,1768262040,0.0000
2026-01-13,08:30,1768263840,0.0000
2026-01-13,09:00,1768265640,0.0000
2026-01-13,09:30,1768267440,0.0000
2026-01-13,10:00,1768269240,0.0000
2026-01-13,10:30,1768271040,0.0000
2026-01-13,11:00,1768272840,0.0000
2026-01-13,11:30,1768274640,0.0000
2026-01-13,12:00,1768276440,0.0000
2026-01-13,12:30,1768278240,0.0000
2026-01-13,13:00,1768280040,0.0000
2026-01-13,13:30,1768281840,0.0000
2026-01-13,14:00,1768283640,0.0000
2026-01-13,14:30,1768285440,0.0000
2026-01-13,15:00,1768287240,0.0000
2026-01-13,15:30,1768289040,0.0000
2026-01-13,16:00,1768290840,0.0000
2026-01-13,16:30,1768292640,0.0000
2026-01-13,17:00,1768294440,0.0000
2026-01-13,17:30,1768296240,0.0000
2026-01-13,18:00,1768298040,0.0000
2026-01-13,18:30,1768299840,0.0000
2026-01-13,19:00,1768301640,0.0000
2026-01-13,19:30,1768303440,0.0000
2026-01-13,20:00,1768305240,0.0000
2026-01-13,20:30,1768307040,0.0000
2026-01-13,21:00,1768308840,0.0000
2026-01-13,21:30,1768310640,0.0000
2026-01-13,22:00,1768312440,0.0000
2026-01-13,22:30,1768314240,0.0000
2026-01-13,23:00,1768316040,0.0000
2026-01-13,23:30,1768317840,0.0000
2026-01-14,00:00,1768319640,0.0000
2026-01-14,00:30,1768321440,0.0000
2026-01-14,01:00,1768323240,0.0000
2026-01-14,01:30,1768325040,0.0000
2026-01-14,02:00,1768326840,0.0000
2026-01-14,02:30,1768328640,0.0000
2026-01-14,03:00,1768330440,0.0000
2026-01-14,03:30,1768332240,0.0000
2026-01-14,04:00,1768334040,0.0000
2026-01-14,04:30,1768335840,0.0000
2026-01-14,05:00,1768337640,0.0000
2026-01-14,05:30,1768339440,0.0000
2026-01-14,06:00,1768341240,0.0000
2026-01-14,06:30,1768343040,0.0000
2026-01-14,07:00,1768344840,0.0000
2026-01-14,07:30,1768346640,0.0000
2026-01-14,08:00,1768348440,0.0000
2026-01-14,08:30,1768350240,0.0000
2026-01-14,09:00,1768352040,0.0000
2026-01-14,09:30,1768353840,0.0000
2026-01-14,10:00,1768355640,0.0000
2026-01-14,10:30,1768357440,0.0000
2026-01-14,11:00,1768359240,0.0000
2026-01-14,11:30,1768361040,0.0000
2026-01-14,12:00,1768362840,0.0000
2026-01-14,12:30,1768364640,0.0000
2026-01-14,13:00,1768366440,0.0000
2026-01-14,13:30,1768368240,0.0000
2026-01-14,14:00,1768370040,0.0000
2026-01-14,14:30,1768371840,0.0000
2026-01-14,15:00,1768373640,0.0000
2026-01-14,15:30,1768375440,0.0000
2026-01-14,16:00,1768377240,0.0000
2026-01-14,16:30,1768379040,0.0000
2026-01-14,17:00,1768380840,0.0000
2026-01-14,17:30,1768382640,0.0000
2026-01-14,18:00,1768384440,0.0000
2026-01-14,18:30,1768386240,0.0000
2026-01-14,19:00,1768388040,0.0000
2026-01-14,19:30,1768389840,0.0000
2026-01-14,20:00,1768391640,0.0000
2026-01-14,20:30,1768393440,0.0000
2026-01-14,21:00,1768395240,0.0000
2026-01-14,21:30,1768397040,0.0000
2026-01-14,22:00,1768398840,0.0000
2026-01-14,22:30,1768400640,0.0000
2026-01-14,23:00,1768402440,0.0000
2026-01-14,23:30,1768404240,0.0000
2026-01-15,00:00,1768406040,0.0000
2026-01-15,00:30,1768407840,0.0000
2026-01-15,01:00,1768409640,0.0000
2026-01-15,01:30,1768411440,0.0000
2026-01-15,02:00,1768413240,0.0000
2026-01-15,02:30,1768415040,0.0000
2026-01-15,03:00,1768416840,0.0000
2026-01-15,03:30,1768418640,0.0000
2026-01-15,04:00,1768420440,0.0000
2026-01-15,04:30,1768422240,0.0000
2026-01-15,05:00,1768424040,0.0000
2026-01-15,05:30,1768425840,0.0000
2026-01-15,06:00,1768427640,0.0000
2026-01-15,06:30,1768429440,0.0000
2026-01-15,07:00,1768431240,0.0000
2026-01-15,07:30,1768433040,0.0000
2026-01-15,08:00,1768434840,0.0000
2026-01-15,08:30,1768436640,0.0000
2026-01-15,09:00,1768438440,0.0000
2026-01-15,09:30,1768440240,0.0000
2026-01-15,10:00,1768442040,0.0000
2026-01-15,10:30,1768443840,0.0000
2026-01-15,11:00,1768445640,0.0000
2026-01-15,11:30,1768447440,0.0000
2026-01-15,12:00,1768449240,0.0000
2026-01-15,12:30,1768451040,0.0000
2026-01-15,13:00,1768452840,0.0000
2026-01-15,13:30,1768454640,0.0000
2026-01-15,14:00,1768456440,0.0000
2026-01-15,14:30,1768458240,0.0000
2026-01-15,15:00,1768460040,0.0000
2026-01-15,15:30,1768461840,0.0000
2026-01-15,16:00,1768463640,0.0000
2026-01-15,16:30,1768465440,0.0000
2026-01-15,17:00,1768467240,0.0000
2026-01-15,17:30,1768469040,0.0000
2026-01-15,18:00,1768470840,0.0000
2026-01-15,18:30,1768472640,0.0000
2026-01-15,19:00,1768474440,0.0000
2026-01-15,19:30,1768476240,0.0000
2026-01-15,20:00,1768478040,0.0000
2026-01-15,20:30,1768479840,0.0000
2026-01-15,21:00,1768481640,0.0000
2026-01-15,21:30,1768483440,0.0000
2026-01-15,22:00,1768485240,0.0000
2026-01-15,22:30,1768487040,0.0000
2026-01-15,23:00,1768488840,0.0000
2026-01-15,23:30,1768490640,0.0000
2026-01-16,00:00,1768492440,0.0000
2026-01-16,00:30,1768494240,0.0000
2026-01-16,01:00,1768496040,0.0000
2026-01-16,01:30,1768497840,0.0000
2026-01-16,02:00,1768499640,0.0000
2026-01-16,02:30,1768501440,0.0000
2026-01-16,03:00,1768503240,0.0000
2026-01-16,03:30,1768505040,0.0000
2026-01-16,04:00,1768506840,0.0000
2026-01-16,04:30,1768508640,0.0000
2026-01-16,05:00,1768510440,0.0000
2026-01-16,05:30,1768512240,0.0000
2026-01-16,06:00,1768514040,0.0000
2026-01-16,06:30,1768515840,0.0000
2026-01-16,07:00,1768517640,0.0000
2026-01-16,07:30,1768519440,0.0000
2026-01-16,08:00,1768521240,0.0000
2026-01-16,08:30,1768523040,0.0000
2026-01-16,09:00,1768524840,0.0000
2026-01-16,09:30,1768526640,0.0000
2026-01-16,10:00,1768528440,0.0000
2026-01-16,10:30,1768530240,0.0000
2026-01-16,11:00,1768532040,0.0000
2026-01-16,11:30,1768533840,0.0000
2026-01-16,12:00,1768535640,0.0000
2026-01-16,12:30,1768537440,0.0000
2026-01-16,13:00,1768539240,0.0000
2026-01-16,13:30,1768541040,0.0000
2026-01-16,14:00,1768542840,0.0000
2026-01-16,14:30,1768544640,0.0000
2026-01-16,15:00,1768546440,0.0000
2026-01-16,15:30,1768548240,0.0000
2026-01-16,16:00,1768550040,0.0000
2026-01-16,16:30,1768551840,0.0000
2026-01-16,17:00,1768553640,0.0000
2026-01-16,17:30,1768555440,0.0000
2026-01-16,18:00,1768557240,0.0000
