日期,时间,时间戳,币种,基准价格(00:00),当前价格,涨跌幅(%)
2026-01-03,03:00:00,1767409200,AAVE,172.87000000,172.87000000,0.0000
2026-01-03,03:00:00,1767409200,APT,1.79200000,1.79200000,0.0000
2026-01-03,03:00:00,1767409200,BCH,599.50000000,599.50000000,0.0000
2026-01-03,03:00:00,1767409200,BNB,934.70000000,934.70000000,0.0000
2026-01-03,03:00:00,1767409200,BTC,95392.80000000,95392.80000000,0.0000
2026-01-03,03:00:00,1767409200,CFX,0.07664000,0.07664000,0.0000
2026-01-03,03:00:00,1767409200,CRO,0.10161000,0.10161000,0.0000
2026-01-03,03:00:00,1767409200,CRV,0.42790000,0.42790000,0.0000
2026-01-03,03:00:00,1767409200,DOGE,0.13801000,0.13801000,0.0000
2026-01-03,03:00:00,1767409200,DOT,2.12800000,2.12800000,0.0000
2026-01-03,03:00:00,1767409200,ETC,12.54000000,12.54000000,0.0000
2026-01-03,03:00:00,1767409200,ETH,3300.78000000,3300.78000000,0.0000
2026-01-03,03:00:00,1767409200,FIL,1.53300000,1.53300000,0.0000
2026-01-03,03:00:00,1767409200,HBAR,0.11693000,0.11693000,0.0000
2026-01-03,03:00:00,1767409200,LDO,0.61370000,0.61370000,0.0000
2026-01-03,03:00:00,1767409200,LINK,13.72800000,13.72800000,0.0000
2026-01-03,03:00:00,1767409200,LTC,72.83000000,72.83000000,0.0000
2026-01-03,03:00:00,1767409200,NEAR,1.72800000,1.72800000,0.0000
2026-01-03,03:00:00,1767409200,SOL,143.04000000,143.04000000,0.0000
2026-01-03,03:00:00,1767409200,STX,0.36380000,0.36380000,0.0000
2026-01-03,03:00:00,1767409200,SUI,1.78100000,1.78100000,0.0000
2026-01-03,03:00:00,1767409200,TAO,274.30000000,274.30000000,0.0000
2026-01-03,03:00:00,1767409200,TON,1.70200000,1.70200000,0.0000
2026-01-03,03:00:00,1767409200,TRX,0.30840000,0.30840000,0.0000
2026-01-03,03:00:00,1767409200,UNI,5.32200000,5.32200000,0.0000
2026-01-03,03:00:00,1767409200,XLM,0.22559000,0.22559000,0.0000
2026-01-03,03:00:00,1767409200,XRP,2.06410000,2.06410000,0.0000
2026-01-03,03:30:00,1767411000,AAVE,172.87000000,172.87000000,0.0000
2026-01-03,03:30:00,1767411000,APT,1.79200000,1.79200000,0.0000
2026-01-03,03:30:00,1767411000,BCH,599.50000000,599.50000000,0.0000
2026-01-03,03:30:00,1767411000,BNB,934.70000000,934.70000000,0.0000
2026-01-03,03:30:00,1767411000,BTC,95392.80000000,95392.80000000,0.0000
2026-01-03,03:30:00,1767411000,CFX,0.07664000,0.07664000,0.0000
2026-01-03,03:30:00,1767411000,CRO,0.10161000,0.10161000,0.0000
2026-01-03,03:30:00,1767411000,CRV,0.42790000,0.42790000,0.0000
2026-01-03,03:30:00,1767411000,DOGE,0.13801000,0.13801000,0.0000
2026-01-03,03:30:00,1767411000,DOT,2.12800000,2.12800000,0.0000
2026-01-03,03:30:00,1767411000,ETC,12.54000000,12.54000000,0.0000
2026-01-03,03:30:00,1767411000,ETH,3300.78000000,3300.78000000,0.0000
2026-01-03,03:30:00,1767411000,FIL,1.53300000,1.53300000,0.0000
2026-01-03,03:30:00,1767411000,HBAR,0.11693000,0.11693000,0.0000
2026-01-03,03:30:00,1767411000,LDO,0.61370000,0.61370000,0.0000
2026-01-03,03:30:00,1767411000,LINK,13.72800000,13.72800000,0.0000
2026-01-03,03:30:00,1767411000,LTC,72.83000000,72.83000000,0.0000
2026-01-03,03:30:00,1767411000,NEAR,1.72800000,1.72800000,0.0000
